 2022-11-01 16:49:41,243 - 's'
 2022-11-01 16:49:41,275 - 'd'
 2022-11-01 16:49:41,275 - 'k'
 2022-11-01 16:49:41,300 - 'u'
 2022-11-01 16:49:41,308 - 'd'
 2022-11-01 16:49:41,323 - 'h'
 2022-11-01 16:49:41,324 - 'z'
 2022-11-01 16:49:41,324 - 'u'
 2022-11-01 16:49:41,356 - 'f'
 2022-11-01 16:49:41,395 - 'g'
 2022-11-01 16:49:41,539 - 'a'
 2022-11-01 16:49:41,540 - 's'
 2022-11-01 16:49:41,619 - 'g'
 2022-11-01 16:49:41,635 - 'f'
 2022-11-01 16:49:42,068 - 'a'
 2022-11-01 16:49:42,100 - 's'
 2022-11-01 16:49:42,131 - 'd'
 2022-11-01 16:49:42,180 - 'f'
 2022-11-01 16:49:44,019 - 'a'
 2022-11-01 16:49:44,171 - 's'
 2022-11-01 16:49:44,268 - 'd'
 2022-11-01 16:49:44,308 - 'f'
 2022-11-01 16:49:49,036 - 's'
 2022-11-01 16:49:49,116 - 'd'
 2022-11-01 16:49:51,646 - 'ö'
 2022-11-01 16:49:51,861 - 'l'
 2022-11-01 16:49:51,925 - 'ö'
 2022-11-01 16:49:54,822 - Key.backspace
 2022-11-01 16:49:55,005 - Key.backspace
 2022-11-01 16:49:55,181 - Key.backspace
 2022-11-01 16:50:00,358 - 'd'
 2022-11-01 16:50:00,430 - 'f'
 2022-11-01 16:50:00,510 - 'g'
 2022-11-01 16:50:00,710 - 'd'
 2022-11-01 16:50:00,742 - 'f'
 2022-11-01 16:50:00,815 - 'g'
